execution_id,execution_date,execution_status,stage_name,stage_order,stage_status,duration_seconds,records_in,records_out,records_failed,success_rate_pct,memory_usage_mb,cpu_usage_percent,error_count,warning_count,quality_score,validations_passed,validations_failed
82fb827b-ad11-4878-89f9-a50d21404a12,2026-02-17 13:16:13,completed,TRANSFORMATION,3,completed,0.069,58358,58358,0,100.00,,,0,0,,,
0d302a6b-ea23-43b1-b8cd-a95e8125cd90,2026-02-17 13:13:25,completed,INGESTION,1,completed,0.445,0,60000,0,,,,0,0,,,
0d302a6b-ea23-43b1-b8cd-a95e8125cd90,2026-02-17 13:13:25,completed,VALIDATION,2,completed,18.822,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
0d302a6b-ea23-43b1-b8cd-a95e8125cd90,2026-02-17 13:13:25,completed,TRANSFORMATION,3,completed,0.053,58358,58358,0,100.00,,,0,0,,,
4f524026-f645-4510-8041-5d6703cda641,2026-02-17 13:12:19,completed,INGESTION,1,completed,0.566,0,60000,0,,,,0,0,,,
4f524026-f645-4510-8041-5d6703cda641,2026-02-17 13:12:19,completed,VALIDATION,2,completed,17.420,60000,60000,0,100.00,,,0,0,93.58974358974359,73,5
4f524026-f645-4510-8041-5d6703cda641,2026-02-17 13:12:19,completed,TRANSFORMATION,3,completed,0.062,58358,58358,0,100.00,,,0,0,,,
ddf6b571-72ef-4050-b63b-b8bdd7892622,2026-02-17 12:48:24,completed,INGESTION,1,completed,0.632,0,60000,0,,,,0,0,,,
ddf6b571-72ef-4050-b63b-b8bdd7892622,2026-02-17 12:48:24,completed,VALIDATION,2,completed,21.755,60000,60000,0,100.00,,,0,0,93.58974358974359,73,5
ddf6b571-72ef-4050-b63b-b8bdd7892622,2026-02-17 12:48:24,completed,TRANSFORMATION,3,completed,0.058,58358,58358,0,100.00,,,0,0,,,
f4be99ff-fb5e-4ff3-b618-301e38438bea,2026-02-17 00:08:33,completed,INGESTION,1,completed,0.417,0,60000,0,,,,0,0,,,
f4be99ff-fb5e-4ff3-b618-301e38438bea,2026-02-17 00:08:33,completed,VALIDATION,2,completed,16.447,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
f4be99ff-fb5e-4ff3-b618-301e38438bea,2026-02-17 00:08:33,completed,TRANSFORMATION,3,completed,0.063,58358,58358,0,100.00,,,0,0,,,
47321c3e-3ae0-433a-af5c-29f7543204a7,2026-02-17 00:04:56,completed,INGESTION,1,completed,0.360,0,60000,0,,,,0,0,,,
47321c3e-3ae0-433a-af5c-29f7543204a7,2026-02-17 00:04:56,completed,VALIDATION,2,completed,15.981,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
47321c3e-3ae0-433a-af5c-29f7543204a7,2026-02-17 00:04:56,completed,TRANSFORMATION,3,completed,0.058,58358,58358,0,100.00,,,0,0,,,
a30cbcc8-8a80-4c77-a478-145f011d27df,2026-02-17 00:00:27,completed,TRANSFORMATION,3,completed,0.039,15910,15910,0,100.00,,,0,0,,,
47d95a46-c63b-4da2-ad4b-f6c7d4240ed7,2026-02-17 00:00:14,completed,VALIDATION,2,completed,7.190,25910,25910,0,100.00,,,0,0,93.47826086956522,43,3
39c4e629-a85e-4ded-b362-7cad9ea60d39,2026-02-17 00:00:07,completed,INGESTION,1,failed,0.193,0,10000,0,,,,1,0,,,
10f5e912-e607-4888-9376-e4c42fc8a58b,2026-02-16 20:35:10,completed,INGESTION,1,completed,0.372,0,60000,0,,,,0,0,,,
10f5e912-e607-4888-9376-e4c42fc8a58b,2026-02-16 20:35:10,completed,VALIDATION,2,completed,15.794,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
10f5e912-e607-4888-9376-e4c42fc8a58b,2026-02-16 20:35:10,completed,TRANSFORMATION,3,completed,0.048,58358,58358,0,100.00,,,0,0,,,
11a2cd90-7aee-4dad-bcd8-8bb1f192ad0b,2026-02-16 20:32:01,completed,INGESTION,1,completed,0.359,0,60000,0,,,,0,0,,,
11a2cd90-7aee-4dad-bcd8-8bb1f192ad0b,2026-02-16 20:32:01,completed,VALIDATION,2,completed,16.398,60000,60000,0,100.00,,,0,0,94.8051948051948,73,4
11a2cd90-7aee-4dad-bcd8-8bb1f192ad0b,2026-02-16 20:32:01,completed,TRANSFORMATION,3,completed,0.043,58358,58358,0,100.00,,,0,0,,,
ea465a16-53cf-4092-8c60-071c98e308a7,2026-02-16 20:31:23,completed,INGESTION,1,completed,0.403,0,60000,0,,,,0,0,,,
ea465a16-53cf-4092-8c60-071c98e308a7,2026-02-16 20:31:23,completed,VALIDATION,2,completed,16.276,60000,60000,0,100.00,,,0,0,94.8051948051948,73,4
ea465a16-53cf-4092-8c60-071c98e308a7,2026-02-16 20:31:23,completed,TRANSFORMATION,3,completed,0.061,58358,58358,0,100.00,,,0,0,,,
e6d05069-46b1-4ff5-a6cc-105fd805f731,2026-02-16 00:00:27,completed,TRANSFORMATION,3,completed,0.041,15910,15910,0,100.00,,,0,0,,,
aef0bf21-5eae-42ae-b653-490104e24bc3,2026-02-16 00:00:14,completed,VALIDATION,2,completed,6.957,25910,25910,0,100.00,,,0,0,93.33333333333333,42,3
a5c9ec15-d41f-404c-a7bb-85790a0ec128,2026-02-16 00:00:06,completed,INGESTION,1,failed,0.179,0,10000,0,,,,1,0,,,
0e6423dd-3d06-4b99-86e0-7a53a6e7ccc2,2026-02-15 23:11:50,completed,INGESTION,1,completed,0.414,0,60000,0,,,,0,0,,,
0e6423dd-3d06-4b99-86e0-7a53a6e7ccc2,2026-02-15 23:11:50,completed,VALIDATION,2,completed,17.664,60000,60000,0,100.00,,,0,0,93.5064935064935,72,5
0e6423dd-3d06-4b99-86e0-7a53a6e7ccc2,2026-02-15 23:11:50,completed,TRANSFORMATION,3,completed,0.052,58358,58358,0,100.00,,,0,0,,,
10e55ba3-b308-45dc-b536-54604eaff56e,2026-02-15 23:02:54,completed,INGESTION,1,completed,0.385,0,60000,0,,,,0,0,,,
10e55ba3-b308-45dc-b536-54604eaff56e,2026-02-15 23:02:54,completed,VALIDATION,2,completed,18.555,60000,60000,0,100.00,,,0,0,93.5064935064935,72,5
10e55ba3-b308-45dc-b536-54604eaff56e,2026-02-15 23:02:54,completed,TRANSFORMATION,3,completed,0.069,58358,58358,0,100.00,,,0,0,,,
c9ed57a2-7779-4835-b9f4-1ccbfdfd0215,2026-02-15 22:59:48,completed,INGESTION,1,completed,0.400,0,60000,0,,,,0,0,,,
c9ed57a2-7779-4835-b9f4-1ccbfdfd0215,2026-02-15 22:59:48,completed,VALIDATION,2,completed,19.392,60000,60000,0,100.00,,,0,0,93.5064935064935,72,5
c9ed57a2-7779-4835-b9f4-1ccbfdfd0215,2026-02-15 22:59:48,completed,TRANSFORMATION,3,completed,0.064,58358,58358,0,100.00,,,0,0,,,
f6dfe67f-4556-4de6-8bbe-1da5f3b7863e,2026-02-15 22:56:42,completed,INGESTION,1,completed,0.441,0,60000,0,,,,0,0,,,
f6dfe67f-4556-4de6-8bbe-1da5f3b7863e,2026-02-15 22:56:42,completed,VALIDATION,2,completed,17.413,60000,60000,0,100.00,,,0,0,94.8051948051948,73,4
f6dfe67f-4556-4de6-8bbe-1da5f3b7863e,2026-02-15 22:56:42,completed,TRANSFORMATION,3,completed,0.100,58358,58358,0,100.00,,,0,0,,,
e280a475-4bdd-496e-8048-15a6516e383c,2026-02-15 22:31:09,completed,INGESTION,1,completed,0.372,0,60000,0,,,,0,0,,,
e280a475-4bdd-496e-8048-15a6516e383c,2026-02-15 22:31:09,completed,VALIDATION,2,completed,17.724,60000,60000,0,100.00,,,0,0,94.8051948051948,73,4
e280a475-4bdd-496e-8048-15a6516e383c,2026-02-15 22:31:09,completed,TRANSFORMATION,3,completed,0.057,58358,58358,0,100.00,,,0,0,,,
4c2cbdcc-8189-4b94-ba0b-41bee8c5dab9,2026-02-15 22:28:12,completed,INGESTION,1,completed,0.418,0,60000,0,,,,0,0,,,
4c2cbdcc-8189-4b94-ba0b-41bee8c5dab9,2026-02-15 22:28:12,completed,VALIDATION,2,completed,19.202,60000,60000,0,100.00,,,0,0,96.1038961038961,74,3
4c2cbdcc-8189-4b94-ba0b-41bee8c5dab9,2026-02-15 22:28:12,completed,TRANSFORMATION,3,completed,0.070,58358,58358,0,100.00,,,0,0,,,
330d80c4-25f2-488a-bc40-583856d026be,2026-02-15 20:53:15,completed,TRANSFORMATION,3,completed,0.045,15910,15910,0,100.00,,,0,0,,,
43813210-3440-45f6-8b10-b4ac2d4d7b03,2026-02-15 20:53:05,completed,VALIDATION,2,completed,3.962,25910,25910,0,100.00,,,0,0,93.33333333333333,42,3
82c962a7-e829-411a-bb11-4d82b511423d,2026-02-15 20:52:58,completed,INGESTION,1,failed,0.145,0,10000,0,,,,1,0,,,
22b99f59-7781-40a0-9532-d06d13cad033,2026-02-15 20:35:11,completed,INGESTION,1,completed,0.229,0,60000,0,,,,0,0,,,
22b99f59-7781-40a0-9532-d06d13cad033,2026-02-15 20:35:11,completed,VALIDATION,2,completed,10.409,60000,60000,0,100.00,,,0,0,96.1038961038961,74,3
22b99f59-7781-40a0-9532-d06d13cad033,2026-02-15 20:35:11,completed,TRANSFORMATION,3,completed,0.036,58358,58358,0,100.00,,,0,0,,,
